"Variables ->","obs_l_gdp","obs_dl_cpi","obs_rs","obs_dl_cpi_targ","obs_rrs_ex"
"Comments ->","Real Gross Domestic Product","Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average","3-Month Treasury Bill Secondary Market Rate","",""
"Class[Size] ->","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]"
"1990Q1",9.14465549e+02,5.79057731e+00,7.76000000e+00,NaN,1.86275602e+00
"1990Q2",9.14827804e+02,4.71242447e+00,7.74666667e+00,NaN,3.04757553e+00
"1990Q3",9.14894294e+02,5.83807519e+00,7.47666667e+00,NaN,1.90859148e+00
"1990Q4",9.13979730e+02,4.39618542e+00,6.99000000e+00,NaN,3.08048125e+00
"1991Q1",9.13510764e+02,5.11651721e+00,6.02333333e+00,NaN,1.87348279e+00
"1991Q2",9.14287458e+02,3.81864475e+00,5.56000000e+00,NaN,2.20468858e+00
"1991Q3",9.14791524e+02,3.31166883e+00,5.37666667e+00,NaN,2.24833117e+00
"1991Q4",9.15139482e+02,3.28447593e+00,4.54000000e+00,NaN,2.09219073e+00
"1992Q1",9.16329530e+02,3.07228323e+00,3.89333333e+00,NaN,1.46771677e+00
"1992Q2",9.17408014e+02,3.04886567e+00,3.68000000e+00,NaN,8.44467666e-01
"1992Q3",9.18391272e+02,2.93444691e+00,3.08333333e+00,NaN,7.45553093e-01
"1992Q4",9.19428751e+02,3.27572349e+00,3.07000000e+00,NaN,-1.92390160e-01
"1993Q1",9.19595591e+02,3.15921760e+00,2.96000000e+00,NaN,-8.92175957e-02
"1993Q2",9.20176017e+02,3.22365747e+00,2.96666667e+00,NaN,-2.63657475e-01
"1993Q3",9.20652039e+02,2.40080747e+00,3.00333333e+00,NaN,5.65859193e-01
"1993Q4",9.22002948e+02,3.09086426e+00,3.06000000e+00,NaN,-8.75309255e-02
"1994Q1",9.22968584e+02,2.36816830e+00,3.24333333e+00,NaN,6.91831697e-01
"1994Q2",9.24314584e+02,2.70182964e+00,3.98666667e+00,NaN,5.41503691e-01
"1994Q3",9.24897418e+02,3.20105526e+00,4.47666667e+00,NaN,7.85611409e-01
"1994Q4",9.26036425e+02,2.49114947e+00,5.28000000e+00,NaN,1.98551720e+00
"1995Q1",9.26390493e+02,3.15600315e+00,5.73666667e+00,2.25000000e+00,2.12399685e+00
"1995Q2",9.26688355e+02,3.29986007e+00,5.59666667e+00,2.25000000e+00,2.43680660e+00
"1995Q3",9.27535422e+02,2.43621461e+00,5.36666667e+00,2.25000000e+00,3.16045206e+00
"1995Q4",9.28212163e+02,2.75431448e+00,5.26000000e+00,2.25000000e+00,2.61235218e+00
"1996Q1",9.28958344e+02,2.81808045e+00,4.93000000e+00,2.25000000e+00,2.44191955e+00
"1996Q2",9.30612471e+02,2.55223671e+00,5.02000000e+00,2.25000000e+00,2.37776329e+00
"1996Q3",9.31505483e+02,2.94359464e+00,5.09666667e+00,2.25000000e+00,2.07640536e+00
"1996Q4",9.32538526e+02,3.00295618e+00,4.97666667e+00,2.25000000e+00,2.09371049e+00
"1997Q1",9.33182012e+02,2.09677899e+00,5.06000000e+00,2.25000000e+00,2.87988767e+00
"1997Q2",9.34830331e+02,2.16585308e+00,5.04666667e+00,2.25000000e+00,2.89414692e+00
"1997Q3",9.36073352e+02,1.83578093e+00,5.04666667e+00,2.25000000e+00,3.21088573e+00
"1997Q4",9.36928429e+02,2.30273589e+00,5.09000000e+00,2.25000000e+00,2.74393078e+00
"1998Q1",9.37922844e+02,2.44697359e+00,5.05333333e+00,2.25000000e+00,2.64302641e+00
"1998Q2",9.38844405e+02,2.11910630e+00,4.97666667e+00,2.25000000e+00,2.93422703e+00
